FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,ColorID,Color,QUALITYCATEGORY,prediction,error,error_decile,abs_error_decile,relative_error,PREDICTION2
10.0,0.23,0.27,14.1,0.033,45.0,166.0,0.9988,2.72,0.43,9.7,6,1,White,Mid,5.8337307,-0.16626953888412377,4,0,-0.027711589814020627,6.0
10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.99451,2.98,0.63,11.8,8,0,Red,High,6.541255,-1.4587450460750793,1,5,-0.1823431307593849,7.0
10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91,9.7,5,0,Red,Low,5.595063,0.5950629779769052,5,2,0.11901259559538105,6.0
10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0,6,0,Red,Mid,6.2877355,0.28773558406990585,5,1,0.04795593067831764,6.0
10.0,0.41,0.45,6.2,0.071,6.0,14.0,0.99702,3.21,0.49,11.8,7,0,Red,Mid,6.356064,-0.6439360609266602,3,2,-0.09199086584666574,6.0
10.0,0.42,0.5,3.4,0.107,7.0,21.0,0.9979,3.26,0.93,11.8,6,0,Red,Mid,6.5388303,0.5388302254582404,5,2,0.08980503757637341,7.0
10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63,11.6,7,0,Red,Mid,6.2477736,-0.7522265562290897,3,2,-0.10746093660415568,6.0
10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,6,0,Red,Mid,5.635181,-0.36481924813094757,3,1,-0.060803208021824595,6.0
10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,0,Red,Mid,5.637895,-0.3621047754116127,3,1,-0.06035079590193545,6.0
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,6,0,Red,Mid,5.6993,-0.30070016767502494,4,1,-0.050116694612504155,6.0
10.0,0.91,0.42,1.6,0.056,34.0,181.0,0.9968,3.11,0.46,10.0,4,1,White,Low,4.7926717,0.7926717165872619,6,2,0.19816792914681547,5.0
10.1,0.27,0.54,2.3,0.065,7.0,26.0,0.99531,3.17,0.53,12.5,6,0,Red,Mid,5.970875,-0.029125428827357247,4,0,-0.0048542381378928745,6.0
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,0,Red,Mid,5.610772,-0.38922792229120873,3,1,-0.06487132038186812,6.0
10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,6,0,Red,Mid,5.6706243,-0.32937561804657634,3,1,-0.054895936341096054,6.0
10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.0026,3.32,0.64,10.4,6,0,Red,Mid,5.51287,-0.48713000891833946,3,1,-0.08118833481972325,6.0
10.1,0.935,0.22,3.4,0.105,11.0,86.0,1.001,3.43,0.64,11.3,4,0,Red,Low,5.0673604,1.0673602150006163,6,4,0.26684005375015407,5.0
10.2,0.29,0.49,2.6,0.059,5.0,13.0,0.9976,3.05,0.74,10.5,7,0,Red,Mid,6.408113,-0.5918869876805442,3,2,-0.08455528395436344,6.0
10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.99565,3.22,0.63,11.8,6,0,Red,Mid,6.2430515,0.2430514331937923,5,0,0.040508572198965385,6.0
10.2,0.36,0.64,2.9,0.122,10.0,41.0,0.998,3.23,0.66,12.5,6,0,Red,Mid,6.173441,0.17344080969076536,4,0,0.02890680161512756,6.0
10.2,0.4,0.4,2.5,0.068,41.0,54.0,0.99754,3.38,0.86,10.5,6,0,Red,Mid,5.9344425,-0.06555741291701445,4,0,-0.010926235486169075,6.0
